close,high,low,open,time,volume
4349.99,4349.99,4261.32,4261.48,1502942400,82.088865
4427.3,4485.39,4333.32,4333.32,1502956800,63.619882
4352.34,4485.39,4333.42,4427.3,1502971200,174.562001
4325.23,4354.84,4200.74,4352.34,1502985600,225.109716
4285.08,4369.69,4258.56,4307.56,1503000000,249.769913
4292.39,4340.62,4134.61,4285.08,1503014400,276.193043
4300.25,4340.62,4234.43,4292.39,1503028800,248.389029
4340.31,4371.52,4259.85,4285.0,1503043200,196.140129
4236.89,4340.31,4193.7,4340.31,1503057600,175.969384
4136.28,4297.75,4015.7,4236.89,1503072000,193.64697
4108.37,4136.48,3938.77,4135.0,1503086400,109.549709
4138.55,4184.69,4084.28,4108.37,1503100800,108.510448
4033.47,4156.0,3933.21,4138.55,1503115200,112.752079
3957.6,4082.25,3850.0,4033.47,1503129600,77.256042
3972.05,4100.0,3928.89,3945.12,1503144000,47.515578
4076.12,4103.92,3953.4,3972.05,1503158400,25.925056
4139.98,4149.99,4051.47,4088.71,1503172800,9.35056
4094.62,4139.98,4044.0,4139.98,1503187200,6.611283
4155.87,4156.56,4081.19,4094.62,1503201600,28.60391
4106.53,4211.08,4032.62,4155.87,1503216000,36.019943
4125.0,4125.43,4063.35,4106.53,1503230400,29.113266
4164.6,4185.94,4091.59,4125.0,1503244800,169.995517
4086.29,4171.62,4069.13,4161.59,1503259200,196.739103
4084.76,4119.62,4039.0,4069.13,1503273600,220.838143
4043.63,4104.68,3953.4,4079.26,1503288000,222.575129
4023.11,4088.12,4000.01,4043.63,1503302400,78.878314
4022.0,4023.11,3911.79,4023.11,1503316800,43.762796
4027.05,4042.11,3918.8,4022.0,1503331200,24.46693
4016.0,4070.49,3950.0,4027.05,1503345600,101.221748
3862.39,4016.0,3688.97,4016.0,1503360000,114.685346
3798.08,3868.57,3400.0,3863.0,1503374400,167.221519
3866.48,3920.31,3750.08,3798.08,1503388800,221.731236
3858.23,3990.12,3786.81,3866.48,1503403200,179.358421
3984.24,4104.82,3853.47,3858.23,1503417600,159.535655
4040.0,4061.54,3944.03,3984.5,1503432000,124.152681
4100.41,4127.99,4013.89,4040.0,1503446400,159.658384
4074.88,4115.87,4035.32,4084.54,1503460800,141.839603
4237.99,4242.32,4057.0,4081.63,1503475200,135.024022
4197.05,4265.8,4150.65,4205.98,1503489600,237.360569
4117.07,4259.58,4103.51,4197.05,1503504000,174.637585
4114.01,4178.65,4069.8,4117.07,1503518400,152.616402
4113.58,4204.55,4085.01,4147.0,1503532800,123.52015
4153.32,4177.64,4090.39,4113.58,1503547200,123.17946
4202.0,4250.94,4150.0,4153.8,1503561600,171.486488
4222.0,4250.9,4136.33,4211.78,1503576000,146.997342
4216.07,4250.77,4178.22,4223.06,1503590400,111.579358
4316.01,4371.68,4193.17,4216.1,1503604800,110.655955
4312.69,4370.0,4295.75,4316.01,1503619200,141.104526
4329.0,4362.0,4267.5,4312.69,1503633600,101.509543
4361.27,4361.28,4298.74,4317.81,1503648000,74.43306
4394.36,4422.29,4261.13,4361.27,1503662400,164.206656
4307.17,4453.91,4284.11,4394.36,1503676800,52.39933
4280.68,4365.0,4247.48,4326.0,1503691200,39.959625
4297.94,4315.0,4228.99,4280.68,1503705600,41.638568
4319.7,4319.7,4252.44,4297.94,1503720000,28.707288
4288.72,4319.7,4260.88,4319.7,1503734400,36.153081
4275.0,4306.74,4221.14,4288.72,1503748800,34.654984
4293.52,4351.32,4212.41,4275.0,1503763200,47.431108
4337.44,4367.0,4279.0,4293.52,1503777600,39.523039
4314.91,4400.0,4314.91,4332.51,1503792000,62.980388
4313.84,4370.85,4293.42,4329.19,1503806400,47.478199
4323.37,4352.34,4285.56,4331.29,1503820800,57.138682
4325.0,4340.0,4285.54,4323.37,1503835200,35.277424
4368.41,4386.78,4290.01,4290.01,1503849600,72.11126
4310.01,4386.79,4309.6,4336.12,1503864000,75.706632
4239.37,4330.36,4239.36,4310.01,1503878400,73.295355
4261.9,4297.11,4124.54,4239.37,1503892800,94.397198
4308.0,4365.4,4226.93,4261.9,1503907200,121.722034
4273.59,4347.0,4271.03,4308.0,1503921600,121.858551
4321.65,4370.45,4273.59,4273.59,1503936000,107.225677
4386.69,4399.82,4290.18,4321.65,1503950400,85.342801
4376.99,4386.69,4314.35,4386.69,1503964800,78.862074
4329.02,4404.07,4313.55,4376.99,1503979200,128.456959
4368.5,4417.61,4328.12,4328.12,1503993600,88.051429
4570.0,4625.85,4347.59,4368.5,1504008000,128.764571
4555.55,4584.0,4496.95,4570.0,1504022400,127.21423
4587.48,4624.99,4535.09,4555.55,1504036800,52.195765
4583.61,4619.99,4527.45,4587.48,1504051200,119.42503
4550.02,4647.51,4550.01,4600.0,1504065600,149.551451
4498.35,4597.0,4416.01,4550.0,1504080000,176.151828
4546.77,4592.76,4416.16,4537.0,1504094400,163.013481
4536.82,4609.92,4532.8,4546.77,1504108800,84.845278
